クエストID,変数番号,Quest Name,Quest Rank,Quest Level,Explanation,Client,Order conditions,Derived conditions,Clear conditions,Success Reward,受注場所,受注場所詳細,クエストアイコン,アダルト表示,アダルトキャラ,表示順序,<br>
1,501,To the Adventurers Guild,-,-,"Clea who is about to request a dragon subjugation mission
heads towards the capital city of Fotizona where the
adventurers guild Ftera is located.",-,-,-,-,-,-,,-,非表示,-,1,<br>
2,502,To the Adventurers Guild once again,-,-,"Clea who aspires to be an adventurer is now heading to the
capital city of Fotizona to join the Adventurers Guild.",-,-,-,-,-,-,,-,非表示,-,2,<br>
3,503,Gathered individuals,-,-,"Clea will gather companions in order to join the
Adventurers Guild on the orders of Guild Master Agonia.",-,-,-,-,-,-,,-,非表示,-,20,<br>
4,504,Odd jobs at the Adventurers Guild,-,1,"Please handle the miscellaneous tasks within the
Adventurers Guild as instructed by Agonia the guild
master who is currently a temporary member and beginner-
level.",Guild Leader Agonia,・Receiving orders from Guild Master Agonia.,-,"Complete all the miscellaneous tasks at the Adventurers
Guild.",・Leaf of 500 HP Recovery (Small),ギルド,-,icon_guild_wings_1,非表示,-,3,<br>
5,505,Extermination of a large rat.,-,1,"◯Please carry out the extermination of the large rats that
are appearing in the residential area. This is a request
from Guild Master Agonia who is currently a temporary
member and is in charge of handling beginner-level tasks.",Guild Leader Agonia,・Receiving orders from Guild Master Agonia.,-,Exterminate the large rat in the residential area.,・500・Kurumi (Small) with increased physical attack power.,ギルド,-,icon_guild_wings_1,非表示,-,4,<br>
6,506,Assisting the guild members.,-,-,"Please help with the tasks and requests of the Adventurers
Guild members in order to become a full-fledged member.",-,-,-,-,-,-,-,-,非表示,-,6,<br>
7,507,Arros Cave Exploration,-,2,"Please complete the request from Melos the intermediate-
level member for the investigation of the Arros Cave.",Melos the Hole Digger,-,-,Completed the investigation of the Arros Cave.,・Book of SP Increase,ギルド,-,icon_guild_seek_1,非表示,-,7,<br>
8,508,Forgotten item in the cafeteria.,-,2,"Please complete all the small requests from the Stolge of
Compassions request board at the Fotizona Avenue for
intermediate-level temporary members.",Stolge of Affection,-,-,Complete all the small requests.,Cream that increases physical attack by 500.,ギルド,-,icon_guild_delivery_1,非表示,-,8,<br>
9,509,Children of the Pioneers,-,-,"Please make contact with the children of the settlers in the
Barie region on behalf of Stolge of Affection
intermediate-level member.",-,-,-,-,-,-,-,-,非表示,-,9,<br>
10,510,An annoying client.,-,2,"Request from Intermediate-level Mage Relm who is a
temporary member. Please obtain the herb called
Imiserinosus Lips together with Relm.",Mage Relm,・Receiving orders from Guild Master Agonia.,-,Obtain the herb Imiserinos Lips.,・500G,ギルド,-,icon_guild_wings_1,非表示,-,10,<br>
11,511,Relms forgotten item.,-,2,"Request from Advanced Member Provisional Clea the Mage.
Please complete the task that Clea the Mage left
unfinished at the Magic Academy.",Mage Relm,・I have become an advanced temporary member.,-,Complete the unfinished tasks at the Magic Academy.,-,ギルド,-,icon_guild_seek_1,非表示,-,11,<br>
12,512,Re-investigation of the Arros Cave,-,2,"◯Temporary Advanced Member Support Request - Investigation
of the Allos Cave Re-survey We will be conducting an
investigation of the space discovered deep within the cave.",Melos the Hole Digger,・I have become an advanced temporary member.,-,Completed the re-investigation of the Arros Cave.,・500・Kurumi (Small) with increased agility,ギルド,-,icon_guild_seek_1,非表示,-,12,<br>
13,513,Fragile girl Ect,-,-,"Please go meet Ect the daughter of Melos who received a
request from the loving Stolge to dig a hole.",-,-,-,-,-,-,-,-,非表示,-,14,<br>
14,514,Request from the Trogo Orphanage.,-,2,"◯Temporary Advanced Member Support Request from Sister Eleo:
Please rehabilitate the delinquent sister at the church.",Sister Eleo,・Getting permission from receptionist Piste.,-,Rehabilitation of the Delinquent Sister,・500G,ギルド,-,icon_guild_wings_1,非表示,-,15,<br>
15,515,Song of the Hero,-,-,"Please report the heroic achievements worthy of a new song
requested by the traveling bard.",Bard,・Talking to the bard.,-,-,-,カンプス,-,-,非表示,-,154,<br>
16,516,Goblins Nest,-,,"Please defeat the goblins in the overflowing cave as
proposed by the traveling minstrel.",Bard,・Talking to the bard.,-,Defeat the goblin.,-,カンプス,-,-,非表示,-,155,<br>
17,517,Request from the priestess Sophia.,-,-,"Please persuade Eleo to grant permission for the departure
of the request from the priestess Sophia.",-,-,-,-,-,-,,-,非表示,-,16,<br>
18,518,Adventurers Guild Ritual,-,-,"Please participate in the ceremony to become a formal member
of the Adventurers Guild Ftera.",-,-,-,-,-,-,,-,非表示,-,17,<br>
19,519,Dragon Subjugation,-,∞,"The request is to defeat a dragon a mythical monster which
is a challenge for elite adventurers. Since there is
absolutely no information about the dragon the request also
includes an investigation.",？？？,・Obtaining permission from Guild Master Agonia.,-,Dragon Subjugation,？？？,ギルド,-,icon_guild_dragon,非表示,-,52,<br>
20,520,Delivery of high-quality wine.,-,1,"Clea please deliver a bottle of high-quality wine from the
Varieté winery to Gesus house. If Cleas lewdness level
increases adult scenes will be avoided.",Former miner Gesus,・Cleas turn・Cleas lewdness level 1,-,Delivering high-quality wine to the client.,・800G,バリエ,掲示板,icon_adult_001_1,表示,クレア,101,<br>
21,521,Dirty hands.,-,,"Please go to Gesus house and lend him your chest as per his
request as a former miner.",Former miner Gesus,"・Clea has cleared the delivery of high-class wine at Cleas
Lewdness Level.",-,Lend your chest to the former miner Gesus.,・500G,バリエ,掲示板,icon_adult_001_loop_1,表示,クレア,102,<br>
22,522,Forgotten Letter,-,1,"Please deliver this letter to the delivery person in front
of the Crystal Abandoned Mine at the request of the miner
Rock. Noras lewd level will increase and adult scenes will
be avoided.",Miner Rock,・Thief Noras Execution ・Thief Noras Lewdness Level 1,-,Deliver the miner Rocks letter to the delivery person.,・300G,バリエ,掲示板,icon_adult_002_1,表示,ノラ,103,<br>
23,523,Delivery persons break,-,,"Please help Deliveryman Wei take a break in front of the
Crystal Abandoned Mine.",Delivery person Wei.,"・Thief Nora has completed the quest ・Thief Nora has reached
the level of lewdness ・Clea has cleared the forgotten letter",-,Helping Deliveryman Wei take a break.,・500G,バリエ,掲示板,icon_adult_002_loop_1,表示,ノラ,104,<br>
